,Coal,Oil,Gas,Renewables
2008,132.9,296.1,474.7,15.3
2009,125.6,291.9,474.9,14.3
2010,130.6,342.8,494.9,14.9
2011,125.0,340.7,503.4,16.8
2012,129.8,360.5,515.5,19.2
2013,136.1,376.4,536.1,21.3
2014,127.6,354.4,539.9,22.1
2015,136.4,402.0,562.8,21.7
2016,145.9,410.0,594.7,24.4
2017,136.2,401.5,644.1,24.7
2018,145.9,410.0,594.7,24.4
2019,136.2,401.5,644.1,24.7
2020,145.9,410.0,594.7,24.4
2021,136.2,401.5,644.1,24.7
