,Total non-renewable,Total renewable
2009,53627.40,3123.60
2010,53356.60,3750.60
2011,52509.00,5890.10
2012,53206.20,5047.50
2013,48576.00,6724.10
2014,47362.80,6932.40
2015,50883.70,7137.50
2016,48197.00,8385.60
2017,46362.10,9174.10
2018,40029.30,9328.80
2019,38033.90,10662.00
2020,36980.60,12016.30
2021,36196.00,15293.50
