,Coal,Oil,Gas,Renewables
2008,,471,188,77
2009,547.5,468.2,195.8,107.4
2010,497.2,486.5,190.6,98.7
2011,481.5,507.8,246.1,99.7
2012,473.4,517.7,239.8,114.2
2013,442.9,533.6,256.3,109.6
2014,485.3,555.0,293.2,122.5
2015,517.8,541.6,294.7,120.4
2016,544.2,564.6,307.8,129.6
2017,570.5,571.7,299.4,120.9
2018,570.5,571.7,299.4,120.9
2019,570.5,571.7,299.4,120.9
2020,570.5,571.7,299.4,120.9
2021,570.5,571.7,299.4,120.9
